"","Blue Bungee Cross Sectional Area (m^2)","Blue Bungee Original Length (m)","Blue Bungee Added Mass (kg)","Blue Bungee New Length (m)","Grey Bungee Cross Sectional Area (m^2)","Grey Bungee Original Length (m)","Grey Bungee Added Mass (kg)","Grey Bungee New Length (m)","Balloon Cross Sectional Area (m^2)","Balloon Original Length (m)","Balloon Added Mass (kg)","Balloon New Length (m)"
"1",6.3617e-05,0.66,0.5,0.661,6.3617e-05,0.499,0.5,0.504,7e-06,0.144,0.5,0.153
"2",6.3617e-05,0.66,1,0.684,6.3617e-05,0.499,1,0.513,7e-06,0.144,1,0.162
"3",6.3617e-05,0.66,1.5,0.718,6.3617e-05,0.499,1.5,0.528,7e-06,0.144,1.5,0.18
"4",6.3617e-05,0.66,2,0.772,6.3617e-05,0.499,2,0.568,7e-06,0.144,2,0.2
"5",6.3617e-05,0.66,2.5,0.845,6.3617e-05,0.499,2.5,0.618,7e-06,0.144,2.5,0.224
"6",6.3617e-05,0.66,3,0.93,6.3617e-05,0.499,3,0.682,7e-06,0.144,3,0.255
